1108447 990 02 18 080 000079   000080   000080   000081   000088   000083   000085   000087   000088   000082   000075   000071   000062   000059   000063   000063   000060   000062   000066   000080   000080   000085   000089   000081  
1108447 990 02 19 080 000090   000095   000097   000095   000093   000093   000091   000093   000093   000093   000082   000078   000068   000067   000054   000061   000065   000061   000056   000058   000063   000065   000059   000081  
1108447 990 02 20 080 000091   000093   000094   000096   000094   000095   000092   000091   000094   000094   000095   000094   000094   000096   000095   000095   000093   000097   000089   000095   000090   000095   000094   000095  
1108447 990 02 21 080 000096   000096   000096   000096   000098   000098   000097   000098   000099   000095   000097   000094   000094   000091   000089   000084   000080   000083   000087   000086   000092   000091   000089   000090  
1108447 990 02 22 080 000091   000092   000096   000092   000090   000091   000094   000091   000088   000084   000080   000086   000082   000082   000087   000082   000081   000083   000087   000088   000091   000091   000092   000090  
1108447 990 02 23 080 000094   000094   000093   000096   000094   000094   000099   000098   000095   000098   000097   000092   000086   000088   000089   000088   000082   000087   000082   000083   000086   000090   000094   000093  
1108447 990 02 24 080 000095   000094   000094   000095   000096   000096   000095   000095   000096   000094   000094   000093   000093   000095   000093   000093   000095   000097   000096   000098   000098   000097   000097   000097  
1108447 990 02 25 080 000098   000098   000097   000097   000097   000095   000093   000092   000089   000088   000084   000083   000081   000084   000080   000078   000080   000082   000085   000084   000085   000085   000089   000095  
1108447 990 02 26 080 000091   000096   000096   000090   000094   000093   000093   000091   000092   000087   000088   000087   000088   000085   000085   000084   000084   000083   000083   000089   000089   000089   000085   000088  
1108447 990 02 27 080 000086   000089   000088   000087   000092   000090   000092   000089   000087   000077   000077   000074   000078   000080   000060   000070   000064   000055   000057   000073   000076   000079   000084   000071  
1108447 990 02 28 080 000073   000082   000085   000093   000086   000086   000085   000082   000071   000067   000063   000061   000064   000060   000061   000055   000074   000080   000083   000082   000084   000087   000082   000081  
1108447 990 03 01 080 000077   000075   000074   000079   000082   000083   000086   000085   000083   000069   000064   000081   000073   000069   000074   000062   000060   000072   000081   000085   000087   000082   000077   000090  
1108447 990 03 02 080 000075   000077   000087   000083   000085   000082   000092   000080   000080   000068   000052   000047   000071   000068   000069   000050   000060   000061   000066   000081   000084   000087   000083   000080  
1108447 990 03 03 080 000082   000082   000075   000079   000072   000076   000080   000074   000075   000078   000068   000060   000063   000057   000057   000070   000054   000061   000072   000078   000072   000076   000082   000084  
1108447 990 03 04 080 000085   000082   000082   000084   000084   000090   000091   000090   000086   000084   000078   000072   000064   000064   000066   000078   000078   000080   000086   000086   000090   000093   000092   000092  
1108447 990 03 05 080 000093   000095   000092   000095   000095   000095   000095   000097   000097   000094   000092   000090   000087   000087   000079   000078   000074   000076   000080   000086   000087   000089   000093   000092  
1108447 990 03 06 080 000092   000089   000089   000090   000088   000088   000084   000086   000086   000083   000084   000076   000077   000076   000075   000086   000086   000086   000088   000088   000087   000091   000090   000091  
1108447 990 03 07 080 000092   000093   000093   000094   000093   000093   000092   000091   000091   000091   000090   000085   000089   000089   000089   000084   000085   000085   000086   000090   000061   000058   000065   000072  
1108447 990 03 08 080 000072   000070   000072   000071   000068   000078   000076   000088   000085   000080   000090   000084   000072   000065   000062   000058   000060   000068   000061   000062   000068   000069   000069   000072  
